"fishing_fleet","gear_type","time_start","time_end","geographic_identifier","fishing_mode","species","measurement_type","measurement_unit","measurement_value","source_authority","measurement","measurement_processing_level"
"US","L",1959-01-01,1959-12-31,"WCPO","UNK","ALB","NC","t",5,"WCPFC","catch","raised"
"JP","O",1959-01-01,1959-12-31,"WCPO","UNK","ALB","NC","t",67,"WCPFC","catch","raised"
"JP","P",1959-01-01,1959-12-31,"WCPO","UNK","ALB","NC","t",14252,"WCPFC","catch","raised"
"JP","L",1960-01-01,1960-12-31,"WCPO","UNK","ALB","NC","t",30762,"WCPFC","catch","raised"
"KR","L",1960-01-01,1960-12-31,"WCPO","UNK","ALB","NC","t",610,"WCPFC","catch","raised"
"TW","L",1960-01-01,1960-12-31,"WCPO","UNK","ALB","NC","t",11,"WCPFC","catch","raised"
"US","L",1960-01-01,1960-12-31,"WCPO","UNK","ALB","NC","t",4,"WCPFC","catch","raised"
"JP","O",1960-01-01,1960-12-31,"WCPO","UNK","ALB","NC","t",76,"WCPFC","catch","raised"
"JP","P",1960-01-01,1960-12-31,"WCPO","UNK","ALB","NC","t",25156,"WCPFC","catch","raised"
"JP","L",1961-01-01,1961-12-31,"WCPO","UNK","ALB","NC","t",32264,"WCPFC","catch","raised"
"KR","L",1961-01-01,1961-12-31,"WCPO","UNK","ALB","NC","t",330,"WCPFC","catch","raised"
"TW","L",1961-01-01,1961-12-31,"WCPO","UNK","ALB","NC","t",48,"WCPFC","catch","raised"
"US","L",1961-01-01,1961-12-31,"WCPO","UNK","ALB","NC","t",5,"WCPFC","catch","raised"
"JP","O",1961-01-01,1961-12-31,"WCPO","UNK","ALB","NC","t",268,"WCPFC","catch","raised"
"JP","P",1961-01-01,1961-12-31,"WCPO","UNK","ALB","NC","t",18639,"WCPFC","catch","raised"
"JP","S",1961-01-01,1961-12-31,"WCPO","UNK","ALB","NC","t",7,"WCPFC","catch","raised"
"JP","L",1962-01-01,1962-12-31,"WCPO","UNK","ALB","NC","t",36637,"WCPFC","catch","raised"
"KR","L",1962-01-01,1962-12-31,"WCPO","UNK","ALB","NC","t",635,"WCPFC","catch","raised"
"TW","L",1962-01-01,1962-12-31,"WCPO","UNK","ALB","NC","t",79,"WCPFC","catch","raised"
"US","L",1962-01-01,1962-12-31,"WCPO","UNK","ALB","NC","t",7,"WCPFC","catch","raised"
"JP","O",1962-01-01,1962-12-31,"WCPO","UNK","ALB","NC","t",191,"WCPFC","catch","raised"
"JP","P",1962-01-01,1962-12-31,"WCPO","UNK","ALB","NC","t",8729,"WCPFC","catch","raised"
"JP","S",1962-01-01,1962-12-31,"WCPO","UNK","ALB","NC","t",53,"WCPFC","catch","raised"
"JP","L",1963-01-01,1963-12-31,"WCPO","UNK","ALB","NC","t",24902,"WCPFC","catch","raised"
"KR","L",1963-01-01,1963-12-31,"WCPO","UNK","ALB","NC","t",1461,"WCPFC","catch","raised"
"TW","L",1963-01-01,1963-12-31,"WCPO","UNK","ALB","NC","t",168,"WCPFC","catch","raised"
"US","L",1963-01-01,1963-12-31,"WCPO","UNK","ALB","NC","t",7,"WCPFC","catch","raised"
"JP","O",1963-01-01,1963-12-31,"WCPO","UNK","ALB","NC","t",218,"WCPFC","catch","raised"
"JP","P",1963-01-01,1963-12-31,"WCPO","UNK","ALB","NC","t",26420,"WCPFC","catch","raised"
"JP","S",1963-01-01,1963-12-31,"WCPO","UNK","ALB","NC","t",59,"WCPFC","catch","raised"
"JP","L",1964-01-01,1964-12-31,"WCPO","UNK","ALB","NC","t",23774,"WCPFC","catch","raised"
"KR","L",1964-01-01,1964-12-31,"WCPO","UNK","ALB","NC","t",1768,"WCPFC","catch","raised"
"TW","L",1964-01-01,1964-12-31,"WCPO","UNK","ALB","NC","t",659,"WCPFC","catch","raised"
"US","L",1964-01-01,1964-12-31,"WCPO","UNK","ALB","NC","t",4,"WCPFC","catch","raised"
"JP","O",1964-01-01,1964-12-31,"WCPO","UNK","ALB","NC","t",319,"WCPFC","catch","raised"
"JP","P",1964-01-01,1964-12-31,"WCPO","UNK","ALB","NC","t",23858,"WCPFC","catch","raised"
"JP","S",1964-01-01,1964-12-31,"WCPO","UNK","ALB","NC","t",128,"WCPFC","catch","raised"
"JP","L",1965-01-01,1965-12-31,"WCPO","UNK","ALB","NC","t",22737,"WCPFC","catch","raised"
"KR","L",1965-01-01,1965-12-31,"WCPO","UNK","ALB","NC","t",4345,"WCPFC","catch","raised"
"TW","L",1965-01-01,1965-12-31,"WCPO","UNK","ALB","NC","t",1507,"WCPFC","catch","raised"
"US","L",1965-01-01,1965-12-31,"WCPO","UNK","ALB","NC","t",3,"WCPFC","catch","raised"
"JP","O",1965-01-01,1965-12-31,"WCPO","UNK","ALB","NC","t",121,"WCPFC","catch","raised"
"JP","P",1965-01-01,1965-12-31,"WCPO","UNK","ALB","NC","t",41491,"WCPFC","catch","raised"
"JP","S",1965-01-01,1965-12-31,"WCPO","UNK","ALB","NC","t",11,"WCPFC","catch","raised"
"JP","L",1966-01-01,1966-12-31,"WCPO","UNK","ALB","NC","t",36008,"WCPFC","catch","raised"
"KR","L",1966-01-01,1966-12-31,"WCPO","UNK","ALB","NC","t",9117,"WCPFC","catch","raised"
"TW","L",1966-01-01,1966-12-31,"WCPO","UNK","ALB","NC","t",6351,"WCPFC","catch","raised"
"US","L",1966-01-01,1966-12-31,"WCPO","UNK","ALB","NC","t",8,"WCPFC","catch","raised"
"JP","O",1966-01-01,1966-12-31,"WCPO","UNK","ALB","NC","t",585,"WCPFC","catch","raised"
"JP","P",1966-01-01,1966-12-31,"WCPO","UNK","ALB","NC","t",22830,"WCPFC","catch","raised"
"JP","S",1966-01-01,1966-12-31,"WCPO","UNK","ALB","NC","t",111,"WCPFC","catch","raised"
"JP","L",1967-01-01,1967-12-31,"WCPO","UNK","ALB","NC","t",33764,"WCPFC","catch","raised"
"KR","L",1967-01-01,1967-12-31,"WCPO","UNK","ALB","NC","t",9699,"WCPFC","catch","raised"
"TW","L",1967-01-01,1967-12-31,"WCPO","UNK","ALB","NC","t",11314,"WCPFC","catch","raised"
"US","L",1967-01-01,1967-12-31,"WCPO","UNK","ALB","NC","t",12,"WCPFC","catch","raised"
"JP","O",1967-01-01,1967-12-31,"WCPO","UNK","ALB","NC","t",520,"WCPFC","catch","raised"
"JP","P",1967-01-01,1967-12-31,"WCPO","UNK","ALB","NC","t",30481,"WCPFC","catch","raised"
"JP","S",1967-01-01,1967-12-31,"WCPO","UNK","ALB","NC","t",89,"WCPFC","catch","raised"
"NZ","T",1967-01-01,1967-12-31,"WCPO","UNK","ALB","NC","t",5,"WCPFC","catch","raised"
"JP","L",1968-01-01,1968-12-31,"WCPO","UNK","ALB","NC","t",24204,"WCPFC","catch","raised"
"KR","L",1968-01-01,1968-12-31,"WCPO","UNK","ALB","NC","t",6476,"WCPFC","catch","raised"
"TW","L",1968-01-01,1968-12-31,"WCPO","UNK","ALB","NC","t",12701,"WCPFC","catch","raised"
"US","L",1968-01-01,1968-12-31,"WCPO","UNK","ALB","NC","t",11,"WCPFC","catch","raised"
"JP","O",1968-01-01,1968-12-31,"WCPO","UNK","ALB","NC","t",1109,"WCPFC","catch","raised"
"JP","P",1968-01-01,1968-12-31,"WCPO","UNK","ALB","NC","t",16597,"WCPFC","catch","raised"
"JP","S",1968-01-01,1968-12-31,"WCPO","UNK","ALB","NC","t",267,"WCPFC","catch","raised"
"NZ","T",1968-01-01,1968-12-31,"WCPO","UNK","ALB","NC","t",14,"WCPFC","catch","raised"
"JP","L",1969-01-01,1969-12-31,"WCPO","UNK","ALB","NC","t",17805,"WCPFC","catch","raised"
"KR","L",1969-01-01,1969-12-31,"WCPO","UNK","ALB","NC","t",10264,"WCPFC","catch","raised"
"TW","L",1969-01-01,1969-12-31,"WCPO","UNK","ALB","NC","t",9426,"WCPFC","catch","raised"
"US","L",1969-01-01,1969-12-31,"WCPO","UNK","ALB","NC","t",14,"WCPFC","catch","raised"
"JP","O",1969-01-01,1969-12-31,"WCPO","UNK","ALB","NC","t",959,"WCPFC","catch","raised"
"JP","P",1969-01-01,1969-12-31,"WCPO","UNK","ALB","NC","t",32148,"WCPFC","catch","raised"
"JP","S",1969-01-01,1969-12-31,"WCPO","UNK","ALB","NC","t",521,"WCPFC","catch","raised"
"JP","L",1970-01-01,1970-12-31,"WCPO","UNK","ALB","NC","t",20122,"WCPFC","catch","raised"
"KR","L",1970-01-01,1970-12-31,"WCPO","UNK","ALB","NC","t",11942,"WCPFC","catch","raised"
"TW","L",1970-01-01,1970-12-31,"WCPO","UNK","ALB","NC","t",14054,"WCPFC","catch","raised"
"US","L",1970-01-01,1970-12-31,"WCPO","UNK","ALB","NC","t",9,"WCPFC","catch","raised"
"JP","O",1970-01-01,1970-12-31,"WCPO","UNK","ALB","NC","t",517,"WCPFC","catch","raised"
"AU","P",1970-01-01,1970-12-31,"WCPO","UNK","ALB","NC","t",100,"WCPFC","catch","raised"
"JP","P",1970-01-01,1970-12-31,"WCPO","UNK","ALB","NC","t",24385,"WCPFC","catch","raised"
"JP","S",1970-01-01,1970-12-31,"WCPO","UNK","ALB","NC","t",317,"WCPFC","catch","raised"
"NZ","T",1970-01-01,1970-12-31,"WCPO","UNK","ALB","NC","t",50,"WCPFC","catch","raised"
"JP","L",1971-01-01,1971-12-31,"WCPO","UNK","ALB","NC","t",14731,"WCPFC","catch","raised"
"KR","L",1971-01-01,1971-12-31,"WCPO","UNK","ALB","NC","t",11769,"WCPFC","catch","raised"
"TW","L",1971-01-01,1971-12-31,"WCPO","UNK","ALB","NC","t",14902,"WCPFC","catch","raised"
"US","L",1971-01-01,1971-12-31,"WCPO","UNK","ALB","NC","t",11,"WCPFC","catch","raised"
"JP","O",1971-01-01,1971-12-31,"WCPO","UNK","ALB","NC","t",359,"WCPFC","catch","raised"
"AU","P",1971-01-01,1971-12-31,"WCPO","UNK","ALB","NC","t",100,"WCPFC","catch","raised"
"JP","P",1971-01-01,1971-12-31,"WCPO","UNK","ALB","NC","t",53351,"WCPFC","catch","raised"
"JP","S",1971-01-01,1971-12-31,"WCPO","UNK","ALB","NC","t",902,"WCPFC","catch","raised"
"JP","G",1972-01-01,1972-12-31,"WCPO","UNK","ALB","NC","t",1,"WCPFC","catch","raised"
"JP","L",1972-01-01,1972-12-31,"WCPO","UNK","ALB","NC","t",14872,"WCPFC","catch","raised"
"KR","L",1972-01-01,1972-12-31,"WCPO","UNK","ALB","NC","t",9855,"WCPFC","catch","raised"
"TW","L",1972-01-01,1972-12-31,"WCPO","UNK","ALB","NC","t",20081,"WCPFC","catch","raised"
"US","L",1972-01-01,1972-12-31,"WCPO","UNK","ALB","NC","t",8,"WCPFC","catch","raised"
"JP","O",1972-01-01,1972-12-31,"WCPO","UNK","ALB","NC","t",644,"WCPFC","catch","raised"
"AU","P",1972-01-01,1972-12-31,"WCPO","UNK","ALB","NC","t",100,"WCPFC","catch","raised"
"JP","P",1972-01-01,1972-12-31,"WCPO","UNK","ALB","NC","t",60591,"WCPFC","catch","raised"
"JP","S",1972-01-01,1972-12-31,"WCPO","UNK","ALB","NC","t",277,"WCPFC","catch","raised"
"NZ","T",1972-01-01,1972-12-31,"WCPO","UNK","ALB","NC","t",268,"WCPFC","catch","raised"
"JP","G",1973-01-01,1973-12-31,"WCPO","UNK","ALB","NC","t",39,"WCPFC","catch","raised"
"JP","L",1973-01-01,1973-12-31,"WCPO","UNK","ALB","NC","t",17678,"WCPFC","catch","raised"
"KR","L",1973-01-01,1973-12-31,"WCPO","UNK","ALB","NC","t",16762,"WCPFC","catch","raised"
"SB","L",1973-01-01,1973-12-31,"WCPO","UNK","ALB","NC","t",4,"WCPFC","catch","raised"
"TW","L",1973-01-01,1973-12-31,"WCPO","UNK","ALB","NC","t",23766,"WCPFC","catch","raised"
"US","L",1973-01-01,1973-12-31,"WCPO","UNK","ALB","NC","t",14,"WCPFC","catch","raised"
"JP","O",1973-01-01,1973-12-31,"WCPO","UNK","ALB","NC","t",530,"WCPFC","catch","raised"
"AU","P",1973-01-01,1973-12-31,"WCPO","UNK","ALB","NC","t",100,"WCPFC","catch","raised"
"JP","P",1973-01-01,1973-12-31,"WCPO","UNK","ALB","NC","t",68808,"WCPFC","catch","raised"
"JP","S",1973-01-01,1973-12-31,"WCPO","UNK","ALB","NC","t",1353,"WCPFC","catch","raised"
"NZ","T",1973-01-01,1973-12-31,"WCPO","UNK","ALB","NC","t",484,"WCPFC","catch","raised"
"JP","G",1974-01-01,1974-12-31,"WCPO","UNK","ALB","NC","t",224,"WCPFC","catch","raised"
"JP","L",1974-01-01,1974-12-31,"WCPO","UNK","ALB","NC","t",14587,"WCPFC","catch","raised"
"KR","L",1974-01-01,1974-12-31,"WCPO","UNK","ALB","NC","t",6777,"WCPFC","catch","raised"
"TW","L",1974-01-01,1974-12-31,"WCPO","UNK","ALB","NC","t",15591,"WCPFC","catch","raised"
"US","L",1974-01-01,1974-12-31,"WCPO","UNK","ALB","NC","t",9,"WCPFC","catch","raised"
"JP","O",1974-01-01,1974-12-31,"WCPO","UNK","ALB","NC","t",904,"WCPFC","catch","raised"
"AU","P",1974-01-01,1974-12-31,"WCPO","UNK","ALB","NC","t",100,"WCPFC","catch","raised"
"JP","P",1974-01-01,1974-12-31,"WCPO","UNK","ALB","NC","t",73576,"WCPFC","catch","raised"
"JP","S",1974-01-01,1974-12-31,"WCPO","UNK","ALB","NC","t",161,"WCPFC","catch","raised"
"NZ","T",1974-01-01,1974-12-31,"WCPO","UNK","ALB","NC","t",898,"WCPFC","catch","raised"
"JP","G",1975-01-01,1975-12-31,"WCPO","UNK","ALB","NC","t",166,"WCPFC","catch","raised"
"JP","L",1975-01-01,1975-12-31,"WCPO","UNK","ALB","NC","t",10725,"WCPFC","catch","raised"
"KR","L",1975-01-01,1975-12-31,"WCPO","UNK","ALB","NC","t",6261,"WCPFC","catch","raised"
"TW","L",1975-01-01,1975-12-31,"WCPO","UNK","ALB","NC","t",13374,"WCPFC","catch","raised"
"US","L",1975-01-01,1975-12-31,"WCPO","UNK","ALB","NC","t",33,"WCPFC","catch","raised"
"JP","O",1975-01-01,1975-12-31,"WCPO","UNK","ALB","NC","t",243,"WCPFC","catch","raised"
"AU","P",1975-01-01,1975-12-31,"WCPO","UNK","ALB","NC","t",100,"WCPFC","catch","raised"
"JP","P",1975-01-01,1975-12-31,"WCPO","UNK","ALB","NC","t",52157,"WCPFC","catch","raised"
"JP","S",1975-01-01,1975-12-31,"WCPO","UNK","ALB","NC","t",159,"WCPFC","catch","raised"
"NZ","T",1975-01-01,1975-12-31,"WCPO","UNK","ALB","NC","t",646,"WCPFC","catch","raised"
"JP","G",1976-01-01,1976-12-31,"WCPO","UNK","ALB","NC","t",1070,"WCPFC","catch","raised"
"JP","L",1976-01-01,1976-12-31,"WCPO","UNK","ALB","NC","t",16522,"WCPFC","catch","raised"
"KR","L",1976-01-01,1976-12-31,"WCPO","UNK","ALB","NC","t",9008,"WCPFC","catch","raised"
"SB","L",1976-01-01,1976-12-31,"WCPO","UNK","ALB","NC","t",6,"WCPFC","catch","raised"
"TW","L",1976-01-01,1976-12-31,"WCPO","UNK","ALB","NC","t",18136,"WCPFC","catch","raised"
"US","L",1976-01-01,1976-12-31,"WCPO","UNK","ALB","NC","t",23,"WCPFC","catch","raised"
"JP","O",1976-01-01,1976-12-31,"WCPO","UNK","ALB","NC","t",285,"WCPFC","catch","raised"
"AU","P",1976-01-01,1976-12-31,"WCPO","UNK","ALB","NC","t",100,"WCPFC","catch","raised"
"JP","P",1976-01-01,1976-12-31,"WCPO","UNK","ALB","NC","t",85336,"WCPFC","catch","raised"
"JP","S",1976-01-01,1976-12-31,"WCPO","UNK","ALB","NC","t",1109,"WCPFC","catch","raised"
"NZ","T",1976-01-01,1976-12-31,"WCPO","UNK","ALB","NC","t",25,"WCPFC","catch","raised"
"JP","G",1977-01-01,1977-12-31,"WCPO","UNK","ALB","NC","t",688,"WCPFC","catch","raised"
"JP","L",1977-01-01,1977-12-31,"WCPO","UNK","ALB","NC","t",14956,"WCPFC","catch","raised"
"KR","L",1977-01-01,1977-12-31,"WCPO","UNK","ALB","NC","t",11454,"WCPFC","catch","raised"
"SB","L",1977-01-01,1977-12-31,"WCPO","UNK","ALB","NC","t",9,"WCPFC","catch","raised"
"TW","L",1977-01-01,1977-12-31,"WCPO","UNK","ALB","NC","t",18598,"WCPFC","catch","raised"
"US","L",1977-01-01,1977-12-31,"WCPO","UNK","ALB","NC","t",37,"WCPFC","catch","raised"
"JP","O",1977-01-01,1977-12-31,"WCPO","UNK","ALB","NC","t",370,"WCPFC","catch","raised"
"AU","P",1977-01-01,1977-12-31,"WCPO","UNK","ALB","NC","t",100,"WCPFC","catch","raised"
"JP","P",1977-01-01,1977-12-31,"WCPO","UNK","ALB","NC","t",31934,"WCPFC","catch","raised"
"JP","S",1977-01-01,1977-12-31,"WCPO","UNK","ALB","NC","t",669,"WCPFC","catch","raised"
"NZ","T",1977-01-01,1977-12-31,"WCPO","UNK","ALB","NC","t",621,"WCPFC","catch","raised"
"JP","G",1978-01-01,1978-12-31,"WCPO","UNK","ALB","NC","t",4029,"WCPFC","catch","raised"
"JP","L",1978-01-01,1978-12-31,"WCPO","UNK","ALB","NC","t",12438,"WCPFC","catch","raised"
"KR","L",1978-01-01,1978-12-31,"WCPO","UNK","ALB","NC","t",11302,"WCPFC","catch","raised"
"SB","L",1978-01-01,1978-12-31,"WCPO","UNK","ALB","NC","t",9,"WCPFC","catch","raised"
"TW","L",1978-01-01,1978-12-31,"WCPO","UNK","ALB","NC","t",13067,"WCPFC","catch","raised"
"US","L",1978-01-01,1978-12-31,"WCPO","UNK","ALB","NC","t",54,"WCPFC","catch","raised"
"JP","O",1978-01-01,1978-12-31,"WCPO","UNK","ALB","NC","t",2094,"WCPFC","catch","raised"
"AU","P",1978-01-01,1978-12-31,"WCPO","UNK","ALB","NC","t",100,"WCPFC","catch","raised"
"JP","P",1978-01-01,1978-12-31,"WCPO","UNK","ALB","NC","t",59877,"WCPFC","catch","raised"
"JP","S",1978-01-01,1978-12-31,"WCPO","UNK","ALB","NC","t",1115,"WCPFC","catch","raised"
"NZ","T",1978-01-01,1978-12-31,"WCPO","UNK","ALB","NC","t",1686,"WCPFC","catch","raised"
"JP","G",1979-01-01,1979-12-31,"WCPO","UNK","ALB","NC","t",2856,"WCPFC","catch","raised"
"JP","L",1979-01-01,1979-12-31,"WCPO","UNK","ALB","NC","t",13418,"WCPFC","catch","raised"
"KR","L",1979-01-01,1979-12-31,"WCPO","UNK","ALB","NC","t",11046,"WCPFC","catch","raised"
"SB","L",1979-01-01,1979-12-31,"WCPO","UNK","ALB","NC","t",21,"WCPFC","catch","raised"
"TW","L",1979-01-01,1979-12-31,"WCPO","UNK","ALB","NC","t",10681,"WCPFC","catch","raised"
"JP","O",1979-01-01,1979-12-31,"WCPO","UNK","ALB","NC","t",1155,"WCPFC","catch","raised"
"AU","P",1979-01-01,1979-12-31,"WCPO","UNK","ALB","NC","t",100,"WCPFC","catch","raised"
"JP","P",1979-01-01,1979-12-31,"WCPO","UNK","ALB","NC","t",44662,"WCPFC","catch","raised"
"JP","S",1979-01-01,1979-12-31,"WCPO","UNK","ALB","NC","t",125,"WCPFC","catch","raised"
"NZ","T",1979-01-01,1979-12-31,"WCPO","UNK","ALB","NC","t",814,"WCPFC","catch","raised"
"JP","G",1980-01-01,1980-12-31,"WCPO","UNK","ALB","NC","t",2986,"WCPFC","catch","raised"
"JP","L",1980-01-01,1980-12-31,"WCPO","UNK","ALB","NC","t",14796,"WCPFC","catch","raised"
"KR","L",1980-01-01,1980-12-31,"WCPO","UNK","ALB","NC","t",9640,"WCPFC","catch","raised"
"SB","L",1980-01-01,1980-12-31,"WCPO","UNK","ALB","NC","t",25,"WCPFC","catch","raised"
"TW","L",1980-01-01,1980-12-31,"WCPO","UNK","ALB","NC","t",16849,"WCPFC","catch","raised"
"JP","O",1980-01-01,1980-12-31,"WCPO","UNK","ALB","NC","t",1187,"WCPFC","catch","raised"
"AU","P",1980-01-01,1980-12-31,"WCPO","UNK","ALB","NC","t",100,"WCPFC","catch","raised"
"JP","P",1980-01-01,1980-12-31,"WCPO","UNK","ALB","NC","t",46743,"WCPFC","catch","raised"
"JP","S",1980-01-01,1980-12-31,"WCPO","UNK","ALB","NC","t",329,"WCPFC","catch","raised"
"NZ","T",1980-01-01,1980-12-31,"WCPO","UNK","ALB","NC","t",1468,"WCPFC","catch","raised"
"JP","G",1981-01-01,1981-12-31,"WCPO","UNK","ALB","NC","t",10348,"WCPFC","catch","raised"
"JP","L",1981-01-01,1981-12-31,"WCPO","UNK","ALB","NC","t",19934,"WCPFC","catch","raised"
"KR","L",1981-01-01,1981-12-31,"WCPO","UNK","ALB","NC","t",13153,"WCPFC","catch","raised"
"SB","L",1981-01-01,1981-12-31,"WCPO","UNK","ALB","NC","t",2,"WCPFC","catch","raised"
"TW","L",1981-01-01,1981-12-31,"WCPO","UNK","ALB","NC","t",12448,"WCPFC","catch","raised"
"US","L",1981-01-01,1981-12-31,"WCPO","UNK","ALB","NC","t",25,"WCPFC","catch","raised"
"AU","O",1981-01-01,1981-12-31,"WCPO","UNK","ALB","NC","t",5,"WCPFC","catch","raised"
"JP","O",1981-01-01,1981-12-31,"WCPO","UNK","ALB","NC","t",707,"WCPFC","catch","raised"
"JP","P",1981-01-01,1981-12-31,"WCPO","UNK","ALB","NC","t",27426,"WCPFC","catch","raised"
"JP","S",1981-01-01,1981-12-31,"WCPO","UNK","ALB","NC","t",252,"WCPFC","catch","raised"
"NZ","T",1981-01-01,1981-12-31,"WCPO","UNK","ALB","NC","t",2085,"WCPFC","catch","raised"
"JP","G",1982-01-01,1982-12-31,"WCPO","UNK","ALB","NC","t",12511,"WCPFC","catch","raised"
"JP","L",1982-01-01,1982-12-31,"WCPO","UNK","ALB","NC","t",19947,"WCPFC","catch","raised"
"KR","L",1982-01-01,1982-12-31,"WCPO","UNK","ALB","NC","t",11499,"WCPFC","catch","raised"
"SB","L",1982-01-01,1982-12-31,"WCPO","UNK","ALB","NC","t",8,"WCPFC","catch","raised"
"TO","L",1982-01-01,1982-12-31,"WCPO","UNK","ALB","NC","t",106,"WCPFC","catch","raised"
"TW","L",1982-01-01,1982-12-31,"WCPO","UNK","ALB","NC","t",9573,"WCPFC","catch","raised"
"US","L",1982-01-01,1982-12-31,"WCPO","UNK","ALB","NC","t",94,"WCPFC","catch","raised"
"AU","O",1982-01-01,1982-12-31,"WCPO","UNK","ALB","NC","t",6,"WCPFC","catch","raised"
