"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
2023,"L","JP","JP","BET","BIGEYE TUNA",3284
2023,"L","JP","JP","YFT","YELLOWFIN TUNA",3050
2023,"L","JP","JP","SKJ","SKIPJACK TUNA",39
1999,"L","PF",NA,"YFT","YELLOWFIN TUNA",756
1999,"L","PF",NA,"BET","BIGEYE TUNA",276
1999,"L","PF",NA,"ALB","ALBACORE",2580
1999,"L","PF",NA,"SKJ","SKIPJACK TUNA",103
1961,"L","JP","JP","YFT","YELLOWFIN TUNA",49618
1961,"L","JP","JP","ALB","ALBACORE",32264
1961,"L","JP","JP","BET","BIGEYE TUNA",35657
2014,"L","TW","OS","ALB","ALBACORE",4472
2014,"L","TW","OS","BET","BIGEYE TUNA",4030
2014,"L","TW","OS","SKJ","SKIPJACK TUNA",127
2014,"L","TW","OS","YFT","YELLOWFIN TUNA",10399
1964,"L","JP","JP","ALB","ALBACORE",23558
1964,"L","JP","JP","YFT","YELLOWFIN TUNA",41507
1964,"L","JP","JP","BET","BIGEYE TUNA",28525
2003,"L","PF",NA,"YFT","YELLOWFIN TUNA",159
2003,"L","PF",NA,"BET","BIGEYE TUNA",93
2003,"L","PF",NA,"SKJ","SKIPJACK TUNA",13
2003,"L","PF",NA,"ALB","ALBACORE",613
1976,"L","KR",NA,"YFT","YELLOWFIN TUNA",15118
1976,"L","KR",NA,"BET","BIGEYE TUNA",20176
1976,"L","KR",NA,"ALB","ALBACORE",9008
1976,"L","KR",NA,"SKJ","SKIPJACK TUNA",162
1958,"L","TW","OS","BET","BIGEYE TUNA",1604
1958,"L","TW","OS","YFT","YELLOWFIN TUNA",3370
1958,"L","TW","OS","ALB","ALBACORE",27
2000,"L","JP","JP","YFT","YELLOWFIN TUNA",18654
2000,"L","JP","JP","SKJ","SKIPJACK TUNA",15
2000,"L","JP","JP","BET","BIGEYE TUNA",18131
2000,"L","JP","JP","ALB","ALBACORE",12430
1981,"L","TW","DW","YFT","YELLOWFIN TUNA",1875
1981,"L","TW","DW","SKJ","SKIPJACK TUNA",13
1981,"L","TW","DW","BET","BIGEYE TUNA",998
1981,"L","TW","DW","ALB","ALBACORE",12285
2009,"L","KR",NA,"BET","BIGEYE TUNA",14589
2009,"L","KR",NA,"SKJ","SKIPJACK TUNA",10
2009,"L","KR",NA,"ALB","ALBACORE",1674
2009,"L","KR",NA,"YFT","YELLOWFIN TUNA",9446
1982,"L","TW","DW","ALB","ALBACORE",9052
1982,"L","TW","DW","SKJ","SKIPJACK TUNA",14
1982,"L","TW","DW","BET","BIGEYE TUNA",772
1982,"L","TW","DW","YFT","YELLOWFIN TUNA",934
2022,"L","PF",NA,"YFT","YELLOWFIN TUNA",212
2022,"L","PF",NA,"BLM","BLACK MARLIN",1
2022,"L","PF",NA,"SKJ","SKIPJACK TUNA",3
2022,"L","PF",NA,"ALB","ALBACORE",817
2022,"L","PF",NA,"BET","BIGEYE TUNA",227
2022,"L","PF",NA,"BUM","BLUE MARLIN",41
2004,"L","VU",NA,"YFT","YELLOWFIN TUNA",1641
2004,"L","VU",NA,"BET","BIGEYE TUNA",1817
2004,"L","VU",NA,"ALB","ALBACORE",9628
1996,"L","VU",NA,"YFT","YELLOWFIN TUNA",276
1996,"L","VU",NA,"ALB","ALBACORE",192
1996,"L","VU",NA,"BET","BIGEYE TUNA",67
1992,"L","CN",NA,"BET","BIGEYE TUNA",1400
1992,"L","CN",NA,"YFT","YELLOWFIN TUNA",1315
2020,"L","PF",NA,"SKJ","SKIPJACK TUNA",4
2020,"L","PF",NA,"ALB","ALBACORE",478
2020,"L","PF",NA,"YFT","YELLOWFIN TUNA",226
2020,"L","PF",NA,"BET","BIGEYE TUNA",109
1974,"L","TW","OS","BET","BIGEYE TUNA",1906
1974,"L","TW","OS","ALB","ALBACORE",84
1974,"L","TW","OS","SKJ","SKIPJACK TUNA",261
1974,"L","TW","OS","YFT","YELLOWFIN TUNA",7778
1988,"L","JP","JP","ALB","ALBACORE",12167
1988,"L","JP","JP","BET","BIGEYE TUNA",29345
1988,"L","JP","JP","SKJ","SKIPJACK TUNA",21
1988,"L","JP","JP","YFT","YELLOWFIN TUNA",33027
1982,"L","JP","JP","SKJ","SKIPJACK TUNA",28
1982,"L","JP","JP","ALB","ALBACORE",16273
1982,"L","JP","JP","BET","BIGEYE TUNA",32875
1982,"L","JP","JP","YFT","YELLOWFIN TUNA",46377
2022,"P","PF",NA,"YFT","YELLOWFIN TUNA",14
2022,"P","PF",NA,"SKJ","SKIPJACK TUNA",7
2022,"P","PF",NA,"ALB","ALBACORE",1
1987,"L","KR",NA,"YFT","YELLOWFIN TUNA",9945
1987,"L","KR",NA,"BET","BIGEYE TUNA",13586
1987,"L","KR",NA,"SKJ","SKIPJACK TUNA",18
1987,"L","KR",NA,"ALB","ALBACORE",2900
2009,"L","TW","OS","ALB","ALBACORE",8730
2009,"L","TW","OS","YFT","YELLOWFIN TUNA",17050
2009,"L","TW","OS","BET","BIGEYE TUNA",4582
1987,"L","TW","DW","SKJ","SKIPJACK TUNA",1
1987,"L","TW","DW","ALB","ALBACORE",10312
1987,"L","TW","DW","BET","BIGEYE TUNA",240
1987,"L","TW","DW","YFT","YELLOWFIN TUNA",910
1984,"L","TW","DW","YFT","YELLOWFIN TUNA",1374
1984,"L","TW","DW","ALB","ALBACORE",9671
1984,"L","TW","DW","BET","BIGEYE TUNA",726
1984,"L","TW","DW","SKJ","SKIPJACK TUNA",6
2011,"L","KR",NA,"SKJ","SKIPJACK TUNA",37
2011,"L","KR",NA,"BET","BIGEYE TUNA",13789
2011,"L","KR",NA,"YFT","YELLOWFIN TUNA",7817
2011,"L","KR",NA,"ALB","ALBACORE",555
2011,"L","CN",NA,"YFT","YELLOWFIN TUNA",3732
2011,"L","CN",NA,"BET","BIGEYE TUNA",7870
2011,"L","CN",NA,"ALB","ALBACORE",10642
1996,"S","EP",NA,"BET","BIGEYE TUNA",298
1996,"S","EP",NA,"YFT","YELLOWFIN TUNA",52
1996,"S","EP",NA,"SKJ","SKIPJACK TUNA",282
2008,"L","ES",NA,"ALB","ALBACORE",38
2008,"L","ES",NA,"YFT","YELLOWFIN TUNA",10
2008,"L","ES",NA,"BET","BIGEYE TUNA",67
2006,"L","ES",NA,"YFT","YELLOWFIN TUNA",127
2006,"L","ES",NA,"BET","BIGEYE TUNA",62
2006,"L","ES",NA,"SKJ","SKIPJACK TUNA",602
2002,"P","PF",NA,"ALB","ALBACORE",7
2002,"P","PF",NA,"SKJ","SKIPJACK TUNA",513
2002,"P","PF",NA,"YFT","YELLOWFIN TUNA",99
2015,"L","PF",NA,"SKJ","SKIPJACK TUNA",7
2015,"L","PF",NA,"BET","BIGEYE TUNA",90
2015,"L","PF",NA,"ALB","ALBACORE",554
2015,"L","PF",NA,"YFT","YELLOWFIN TUNA",120
2002,"O","PF","","SKJ","SKIPJACK TUNA",515
2002,"O","PF","","YFT","YELLOWFIN TUNA",307
2002,"O","PF","","ALB","ALBACORE",99
1986,"L","KR",NA,"YFT","YELLOWFIN TUNA",9532
1986,"L","KR",NA,"ALB","ALBACORE",15677
1986,"L","KR",NA,"BET","BIGEYE TUNA",10156
1986,"L","KR",NA,"SKJ","SKIPJACK TUNA",29
2012,"L","TW","DW","YFT","YELLOWFIN TUNA",1777
2012,"L","TW","DW","ALB","ALBACORE",4892
2012,"L","TW","DW","BET","BIGEYE TUNA",5129
2012,"L","TW","DW","SKJ","SKIPJACK TUNA",196
2005,"L","PF",NA,"SKJ","SKIPJACK TUNA",3
2005,"L","PF",NA,"ALB","ALBACORE",310
2005,"L","PF",NA,"YFT","YELLOWFIN TUNA",101
2005,"L","PF",NA,"BET","BIGEYE TUNA",77
1975,"L","TW","OS","YFT","YELLOWFIN TUNA",13539
1975,"L","TW","OS","ALB","ALBACORE",254
1975,"L","TW","OS","BET","BIGEYE TUNA",3787
1975,"L","TW","OS","SKJ","SKIPJACK TUNA",66
1995,"L","TW","OS","YFT","YELLOWFIN TUNA",15766
1995,"L","TW","OS","BET","BIGEYE TUNA",7299
1995,"L","TW","OS","ALB","ALBACORE",66
1995,"L","TW","OS","SKJ","SKIPJACK TUNA",87
1982,"P","PF",NA,"SKJ","SKIPJACK TUNA",666
1982,"P","PF",NA,"YFT","YELLOWFIN TUNA",368
2013,"P","PF",NA,"YFT","YELLOWFIN TUNA",18
2013,"P","PF",NA,"SKJ","SKIPJACK TUNA",127
1965,"L","KR",NA,"ALB","ALBACORE",4345
1965,"L","KR",NA,"YFT","YELLOWFIN TUNA",1430
1965,"L","KR",NA,"BET","BIGEYE TUNA",1303
2022,"L","VU",NA,"SKJ","SKIPJACK TUNA",43
2022,"L","VU",NA,"BET","BIGEYE TUNA",1368
2022,"L","VU",NA,"YFT","YELLOWFIN TUNA",382
2022,"L","VU",NA,"ALB","ALBACORE",3360
1990,"L","CN",NA,"YFT","YELLOWFIN TUNA",173
1990,"L","CN",NA,"BET","BIGEYE TUNA",276
1990,"L","CN",NA,"ALB","ALBACORE",4
2005,"L","KR",NA,"YFT","YELLOWFIN TUNA",11815
2005,"L","KR",NA,"ALB","ALBACORE",3387
2005,"L","KR",NA,"SKJ","SKIPJACK TUNA",1
2005,"L","KR",NA,"BET","BIGEYE TUNA",14415
2015,"L","ES",NA,"SKJ","SKIPJACK TUNA",1
2015,"L","ES",NA,"ALB","ALBACORE",62
2015,"L","ES",NA,"YFT","YELLOWFIN TUNA",6
2015,"L","ES",NA,"BET","BIGEYE TUNA",42
2016,"L","TW","OS","BET","BIGEYE TUNA",4638
2016,"L","TW","OS","ALB","ALBACORE",7585
2016,"L","TW","OS","SKJ","SKIPJACK TUNA",213
2016,"L","TW","OS","YFT","YELLOWFIN TUNA",13293
2013,"L","TW","DW","BET","BIGEYE TUNA",3311
2013,"L","TW","DW","SKJ","SKIPJACK TUNA",163
2013,"L","TW","DW","YFT","YELLOWFIN TUNA",1124
2013,"L","TW","DW","ALB","ALBACORE",5680
2006,"L","TW","OS","ALB","ALBACORE",6818
2006,"L","TW","OS","YFT","YELLOWFIN TUNA",12374
2006,"L","TW","OS","SKJ","SKIPJACK TUNA",4
2006,"L","TW","OS","BET","BIGEYE TUNA",6771
1990,"P","PF",NA,"SKJ","SKIPJACK TUNA",1423
1990,"P","PF",NA,"ALB","ALBACORE",3
1990,"P","PF",NA,"YFT","YELLOWFIN TUNA",138
1984,"P","PF",NA,"SKJ","SKIPJACK TUNA",824
1984,"P","PF",NA,"YFT","YELLOWFIN TUNA",426
1997,"L","KR",NA,"ALB","ALBACORE",1528
1997,"L","KR",NA,"YFT","YELLOWFIN TUNA",10518
1997,"L","KR",NA,"BET","BIGEYE TUNA",12031
1997,"L","KR",NA,"SKJ","SKIPJACK TUNA",1
2004,"L","KR",NA,"ALB","ALBACORE",1112
2004,"L","KR",NA,"SKJ","SKIPJACK TUNA",1
2004,"L","KR",NA,"BET","BIGEYE TUNA",13406
2004,"L","KR",NA,"YFT","YELLOWFIN TUNA",10480
1964,"L","TW","DW","BET","BIGEYE TUNA",65
1964,"L","TW","DW","YFT","YELLOWFIN TUNA",133
1964,"L","TW","DW","ALB","ALBACORE",488
1964,"L","TW","DW","SKJ","SKIPJACK TUNA",5
2017,"L","VU",NA,"BET","BIGEYE TUNA",3587
2017,"L","VU",NA,"SKJ","SKIPJACK TUNA",251
2017,"L","VU",NA,"ALB","ALBACORE",6269
2017,"L","VU",NA,"YFT","YELLOWFIN TUNA",1388
2002,"L","KR",NA,"YFT","YELLOWFIN TUNA",14180
2002,"L","KR",NA,"BET","BIGEYE TUNA",25147
2002,"L","KR",NA,"ALB","ALBACORE",3957
2002,"L","KR",NA,"SKJ","SKIPJACK TUNA",10
1979,"S","EP",NA,"SKJ","SKIPJACK TUNA",734
1964,"L","KR",NA,"ALB","ALBACORE",1768
1964,"L","KR",NA,"BET","BIGEYE TUNA",359
1964,"L","KR",NA,"YFT","YELLOWFIN TUNA",400
2009,"O","PF","","SKJ","SKIPJACK TUNA",83
2009,"O","PF","","YFT","YELLOWFIN TUNA",66
2000,"S","EP",NA,"SKJ","SKIPJACK TUNA",1249
2000,"S","EP",NA,"YFT","YELLOWFIN TUNA",788
2000,"S","EP",NA,"BET","BIGEYE TUNA",724
2011,"L","JP","JP","SKJ","SKIPJACK TUNA",121
2011,"L","JP","JP","ALB","ALBACORE",7248
2011,"L","JP","JP","YFT","YELLOWFIN TUNA",6788
2011,"L","JP","JP","BET","BIGEYE TUNA",7111
1995,"L","JP","JP","ALB","ALBACORE",14993
1995,"L","JP","JP","SKJ","SKIPJACK TUNA",77
1995,"L","JP","JP","BET","BIGEYE TUNA",20191
1995,"L","JP","JP","YFT","YELLOWFIN TUNA",27282
1983,"S","EP",NA,"SKJ","SKIPJACK TUNA",1590
1983,"S","EP",NA,"YFT","YELLOWFIN TUNA",577
1986,"P","PF",NA,"YFT","YELLOWFIN TUNA",232
1986,"P","PF",NA,"SKJ","SKIPJACK TUNA",729
2004,"L","TW","DW","BET","BIGEYE TUNA",13651
2004,"L","TW","DW","YFT","YELLOWFIN TUNA",8207
2004,"L","TW","DW","ALB","ALBACORE",7380
2004,"L","TW","DW","SKJ","SKIPJACK TUNA",521
2000,"L","KR",NA,"SKJ","SKIPJACK TUNA",4
2000,"L","KR",NA,"ALB","ALBACORE",670
2000,"L","KR",NA,"YFT","YELLOWFIN TUNA",10207
2000,"L","KR",NA,"BET","BIGEYE TUNA",17478
2020,"L","CN",NA,"BET","BIGEYE TUNA",5794
2020,"L","CN",NA,"YFT","YELLOWFIN TUNA",9680
2020,"L","CN",NA,"ALB","ALBACORE",18631
2014,"L","TW","DW","YFT","YELLOWFIN TUNA",1542
2014,"L","TW","DW","SKJ","SKIPJACK TUNA",112
2014,"L","TW","DW","BET","BIGEYE TUNA",4048
2014,"L","TW","DW","ALB","ALBACORE",5006
1976,"L","TW","OS","ALB","ALBACORE",565
1976,"L","TW","OS","YFT","YELLOWFIN TUNA",12425
1976,"L","TW","OS","BET","BIGEYE TUNA",1628
1976,"L","TW","OS","SKJ","SKIPJACK TUNA",115
2021,"P","PF",NA,"YFT","YELLOWFIN TUNA",14
2021,"P","PF",NA,"SKJ","SKIPJACK TUNA",7
2021,"P","PF",NA,"ALB","ALBACORE",1
1978,"L","JP","JP","YFT","YELLOWFIN TUNA",63246
1978,"L","JP","JP","SKJ","SKIPJACK TUNA",43
1978,"L","JP","JP","BET","BIGEYE TUNA",36028
1978,"L","JP","JP","ALB","ALBACORE",9637
1966,"L","TW","OS","YFT","YELLOWFIN TUNA",4316
1966,"L","TW","OS","SKJ","SKIPJACK TUNA",33
1966,"L","TW","OS","BET","BIGEYE TUNA",1236
1966,"L","TW","OS","ALB","ALBACORE",271
2010,"L","ES",NA,"BET","BIGEYE TUNA",42
2010,"L","ES",NA,"YFT","YELLOWFIN TUNA",6
2010,"L","ES",NA,"ALB","ALBACORE",62
2010,"L","ES",NA,"SKJ","SKIPJACK TUNA",1
1970,"L","TW","OS","BET","BIGEYE TUNA",1149
1970,"L","TW","OS","YFT","YELLOWFIN TUNA",6132
1970,"L","TW","OS","ALB","ALBACORE",1482
1969,"L","TW","DW","SKJ","SKIPJACK TUNA",71
1969,"L","TW","DW","ALB","ALBACORE",8857
1969,"L","TW","DW","YFT","YELLOWFIN TUNA",9307
1969,"L","TW","DW","BET","BIGEYE TUNA",2127
2008,"L","PF",NA,"ALB","ALBACORE",774
2008,"L","PF",NA,"YFT","YELLOWFIN TUNA",113
2008,"L","PF",NA,"SKJ","SKIPJACK TUNA",5
2008,"L","PF",NA,"BET","BIGEYE TUNA",124
1991,"L","KR",NA,"YFT","YELLOWFIN TUNA",4768
1991,"L","KR",NA,"ALB","ALBACORE",540
1991,"L","KR",NA,"BET","BIGEYE TUNA",5955
1991,"L","KR",NA,"SKJ","SKIPJACK TUNA",9
1979,"P","PF",NA,"YFT","YELLOWFIN TUNA",161
1979,"P","PF",NA,"SKJ","SKIPJACK TUNA",535
2013,"L","JP","JP","SKJ","SKIPJACK TUNA",198
2013,"L","JP","JP","YFT","YELLOWFIN TUNA",4429
2013,"L","JP","JP","ALB","ALBACORE",6638
2013,"L","JP","JP","BET","BIGEYE TUNA",4833
1977,"L","TW","DW","SKJ","SKIPJACK TUNA",58
1977,"L","TW","DW","ALB","ALBACORE",18297
1977,"L","TW","DW","YFT","YELLOWFIN TUNA",5814
1977,"L","TW","DW","BET","BIGEYE TUNA",3183
2001,"L","JP","JP","YFT","YELLOWFIN TUNA",11079
2001,"L","JP","JP","BET","BIGEYE TUNA",19009
2001,"L","JP","JP","SKJ","SKIPJACK TUNA",70
2001,"L","JP","JP","ALB","ALBACORE",14038
2003,"P","PF",NA,"YFT","YELLOWFIN TUNA",77
2003,"P","PF",NA,"SKJ","SKIPJACK TUNA",521
2003,"P","PF",NA,"ALB","ALBACORE",5
1998,"L","TW","OS","YFT","YELLOWFIN TUNA",14323
1998,"L","TW","OS","BET","BIGEYE TUNA",8490
1998,"L","TW","OS","SKJ","SKIPJACK TUNA",38
1998,"L","TW","OS","ALB","ALBACORE",324
1992,"L","TW","DW","YFT","YELLOWFIN TUNA",1134
1992,"L","TW","DW","SKJ","SKIPJACK TUNA",148
1992,"L","TW","DW","BET","BIGEYE TUNA",1098
1992,"L","TW","DW","ALB","ALBACORE",9436
1996,"L","PF",NA,"ALB","ALBACORE",1463
1996,"L","PF",NA,"YFT","YELLOWFIN TUNA",380
1996,"L","PF",NA,"BET","BIGEYE TUNA",184
1996,"L","PF",NA,"SKJ","SKIPJACK TUNA",26
2017,"P","PF",NA,"YFT","YELLOWFIN TUNA",14
2017,"P","PF",NA,"SKJ","SKIPJACK TUNA",14
2013,"L","VU",NA,"ALB","ALBACORE",9724
2013,"L","VU",NA,"YFT","YELLOWFIN TUNA",1710
2013,"L","VU",NA,"BET","BIGEYE TUNA",1616
1994,"L","KR",NA,"YFT","YELLOWFIN TUNA",7779
1994,"L","KR",NA,"SKJ","SKIPJACK TUNA",3
1994,"L","KR",NA,"BET","BIGEYE TUNA",16093
1994,"L","KR",NA,"ALB","ALBACORE",1124
2008,"L","VU",NA,"BET","BIGEYE TUNA",957
2008,"L","VU",NA,"ALB","ALBACORE",6516
2008,"L","VU",NA,"YFT","YELLOWFIN TUNA",827
2007,"L","JP","JP","SKJ","SKIPJACK TUNA",36
2007,"L","JP","JP","ALB","ALBACORE",6962
2007,"L","JP","JP","YFT","YELLOWFIN TUNA",9603
2007,"L","JP","JP","BET","BIGEYE TUNA",13625
1983,"L","TW","OS","BET","BIGEYE TUNA",876
1983,"L","TW","OS","ALB","ALBACORE",512
1983,"L","TW","OS","YFT","YELLOWFIN TUNA",16260
1983,"L","TW","OS","SKJ","SKIPJACK TUNA",383
1997,"L","JP","JP","BET","BIGEYE TUNA",21797
1997,"L","JP","JP","SKJ","SKIPJACK TUNA",28
1997,"L","JP","JP","ALB","ALBACORE",15983
1997,"L","JP","JP","YFT","YELLOWFIN TUNA",18771
1971,"L","KR",NA,"ALB","ALBACORE",11769
1971,"L","KR",NA,"BET","BIGEYE TUNA",940
1971,"L","KR",NA,"YFT","YELLOWFIN TUNA",3832
2006,"L","KR",NA,"YFT","YELLOWFIN TUNA",7471
2006,"L","KR",NA,"SKJ","SKIPJACK TUNA",2
2006,"L","KR",NA,"BET","BIGEYE TUNA",12725
2006,"L","KR",NA,"ALB","ALBACORE",1138
2000,"L","TW","DW","BET","BIGEYE TUNA",922
2000,"L","TW","DW","SKJ","SKIPJACK TUNA",265
2000,"L","TW","DW","ALB","ALBACORE",12981
2000,"L","TW","DW","YFT","YELLOWFIN TUNA",1469
1998,"L","TW","DW","SKJ","SKIPJACK TUNA",683
1998,"L","TW","DW","BET","BIGEYE TUNA",1285
1998,"L","TW","DW","ALB","ALBACORE",14760
1998,"L","TW","DW","YFT","YELLOWFIN TUNA",988
2000,"L","PF",NA,"YFT","YELLOWFIN TUNA",150
2000,"L","PF",NA,"SKJ","SKIPJACK TUNA",33
2000,"L","PF",NA,"BET","BIGEYE TUNA",58
2000,"L","PF",NA,"ALB","ALBACORE",835
2002,"L","PF",NA,"ALB","ALBACORE",2012
2002,"L","PF",NA,"YFT","YELLOWFIN TUNA",229
2002,"L","PF",NA,"SKJ","SKIPJACK TUNA",65
2002,"L","PF",NA,"BET","BIGEYE TUNA",261
2018,"L","TW","OS","SKJ","SKIPJACK TUNA",269
2018,"L","TW","OS","BET","BIGEYE TUNA",4368
2018,"L","TW","OS","ALB","ALBACORE",8562
2018,"L","TW","OS","YFT","YELLOWFIN TUNA",11636
2021,"L","PF",NA,"SKJ","SKIPJACK TUNA",2
2021,"L","PF",NA,"BET","BIGEYE TUNA",113
2021,"L","PF",NA,"ALB","ALBACORE",415
2021,"L","PF",NA,"YFT","YELLOWFIN TUNA",285
1968,"L","TW","OS","SKJ","SKIPJACK TUNA",18
1968,"L","TW","OS","BET","BIGEYE TUNA",2059
1968,"L","TW","OS","YFT","YELLOWFIN TUNA",5805
1968,"L","TW","OS","ALB","ALBACORE",482
2012,"L","KR",NA,"BET","BIGEYE TUNA",16471
2012,"L","KR",NA,"SKJ","SKIPJACK TUNA",183
2012,"L","KR",NA,"ALB","ALBACORE",1521
2012,"L","KR",NA,"YFT","YELLOWFIN TUNA",7368
2001,"L","TW","DW","ALB","ALBACORE",11569
2001,"L","TW","DW","YFT","YELLOWFIN TUNA",1520
2001,"L","TW","DW","BET","BIGEYE TUNA",1043
2001,"L","TW","DW","SKJ","SKIPJACK TUNA",267
2011,"O","PF","","SKJ","SKIPJACK TUNA",97
2011,"O","PF","","YFT","YELLOWFIN TUNA",79
2003,"S","EP",NA,"BET","BIGEYE TUNA",793
2003,"S","EP",NA,"YFT","YELLOWFIN TUNA",99
2003,"S","EP",NA,"SKJ","SKIPJACK TUNA",1473
2022,"L","JP","JP","SKJ","SKIPJACK TUNA",41
2022,"L","JP","JP","ALB","ALBACORE",4063
2022,"L","JP","JP","YFT","YELLOWFIN TUNA",2739
2022,"L","JP","JP","BET","BIGEYE TUNA",1474
1999,"S","ES",NA,"BET","BIGEYE TUNA",1437
1999,"S","ES",NA,"SKJ","SKIPJACK TUNA",5670
1999,"S","ES",NA,"YFT","YELLOWFIN TUNA",1506
2004,"L","CN",NA,"SKJ","SKIPJACK TUNA",7
2004,"L","CN",NA,"ALB","ALBACORE",5986
2004,"L","CN",NA,"BET","BIGEYE TUNA",11041
2004,"L","CN",NA,"YFT","YELLOWFIN TUNA",3824
1998,"O","PF","","SKJ","SKIPJACK TUNA",474
1998,"O","PF","","YFT","YELLOWFIN TUNA",190
1998,"O","PF","","ALB","ALBACORE",30
1981,"S","EP",NA,"SKJ","SKIPJACK TUNA",98
2016,"L","CN",NA,"ALB","ALBACORE",9546
2016,"L","CN",NA,"YFT","YELLOWFIN TUNA",4960
2016,"L","CN",NA,"BET","BIGEYE TUNA",6306
1965,"L","TW","OS","ALB","ALBACORE",261
1965,"L","TW","OS","YFT","YELLOWFIN TUNA",3459
1965,"L","TW","OS","BET","BIGEYE TUNA",1456
2013,"L","PF",NA,"ALB","ALBACORE",1006
2013,"L","PF",NA,"SKJ","SKIPJACK TUNA",14
2013,"L","PF",NA,"BET","BIGEYE TUNA",183
2013,"L","PF",NA,"YFT","YELLOWFIN TUNA",212
2021,"L","JP","JP","BET","BIGEYE TUNA",1474
2021,"L","JP","JP","SKJ","SKIPJACK TUNA",41
2021,"L","JP","JP","YFT","YELLOWFIN TUNA",2739
2021,"L","JP","JP","ALB","ALBACORE",4063
1969,"L","TW","OS","ALB","ALBACORE",569
1969,"L","TW","OS","BET","BIGEYE TUNA",2326
1969,"L","TW","OS","YFT","YELLOWFIN TUNA",5409
1969,"L","TW","OS","SKJ","SKIPJACK TUNA",46
2015,"L","JP","JP","SKJ","SKIPJACK TUNA",86
2015,"L","JP","JP","YFT","YELLOWFIN TUNA",4130
2015,"L","JP","JP","ALB","ALBACORE",4985
2015,"L","JP","JP","BET","BIGEYE TUNA",5520
2016,"S","ES",NA,"BET","BIGEYE TUNA",1274
2016,"S","ES",NA,"YFT","YELLOWFIN TUNA",447
2016,"S","ES",NA,"SKJ","SKIPJACK TUNA",5215
2007,"P","PF",NA,"YFT","YELLOWFIN TUNA",42
2007,"P","PF",NA,"ALB","ALBACORE",17
2007,"P","PF",NA,"SKJ","SKIPJACK TUNA",69
2010,"L","PF",NA,"SKJ","SKIPJACK TUNA",7
2010,"L","PF",NA,"YFT","YELLOWFIN TUNA",111
2010,"L","PF",NA,"BET","BIGEYE TUNA",121
2010,"L","PF",NA,"ALB","ALBACORE",572
1999,"L","KR",NA,"BET","BIGEYE TUNA",18709
1999,"L","KR",NA,"YFT","YELLOWFIN TUNA",7030
1999,"L","KR",NA,"ALB","ALBACORE",874
1999,"L","KR",NA,"SKJ","SKIPJACK TUNA",2
2012,"S","ES",NA,"BET","BIGEYE TUNA",5430
2012,"S","ES",NA,"SKJ","SKIPJACK TUNA",20073
2012,"S","ES",NA,"YFT","YELLOWFIN TUNA",6283
1989,"L","JP","JP","BET","BIGEYE TUNA",32192
1989,"L","JP","JP","ALB","ALBACORE",11273
1989,"L","JP","JP","YFT","YELLOWFIN TUNA",25644
1989,"L","JP","JP","SKJ","SKIPJACK TUNA",17
2000,"S","ES",NA,"BET","BIGEYE TUNA",3644
2000,"S","ES",NA,"YFT","YELLOWFIN TUNA",2825
2000,"S","ES",NA,"SKJ","SKIPJACK TUNA",6427
1989,"L","TW","DW","BET","BIGEYE TUNA",121
1989,"L","TW","DW","ALB","ALBACORE",6752
1989,"L","TW","DW","YFT","YELLOWFIN TUNA",682
1989,"L","TW","DW","SKJ","SKIPJACK TUNA",4
1990,"L","KR",NA,"ALB","ALBACORE",699
1990,"L","KR",NA,"SKJ","SKIPJACK TUNA",11
1990,"L","KR",NA,"YFT","YELLOWFIN TUNA",10860
1990,"L","KR",NA,"BET","BIGEYE TUNA",13726
2006,"L","TW","DW","YFT","YELLOWFIN TUNA",2924
2006,"L","TW","DW","BET","BIGEYE TUNA",6045
2006,"L","TW","DW","SKJ","SKIPJACK TUNA",174
2006,"L","TW","DW","ALB","ALBACORE",5981
1973,"L","KR",NA,"BET","BIGEYE TUNA",2523
1973,"L","KR",NA,"YFT","YELLOWFIN TUNA",6653
1973,"L","KR",NA,"ALB","ALBACORE",16762
2018,"L","TW","DW","SKJ","SKIPJACK TUNA",89
2018,"L","TW","DW","BET","BIGEYE TUNA",2856
2018,"L","TW","DW","BUM","BLUE MARLIN",461
2018,"L","TW","DW","BLM","BLACK MARLIN",31
2018,"L","TW","DW","ALB","ALBACORE",5259
2018,"L","TW","DW","YFT","YELLOWFIN TUNA",1760
1960,"L","KR",NA,"BET","BIGEYE TUNA",50
1960,"L","KR",NA,"YFT","YELLOWFIN TUNA",84
1960,"L","KR",NA,"ALB","ALBACORE",610
2022,"L","TW","OS","YFT","YELLOWFIN TUNA",11455
2022,"L","TW","OS","BET","BIGEYE TUNA",3775
2022,"L","TW","OS","SKJ","SKIPJACK TUNA",511
2022,"L","TW","OS","ALB","ALBACORE",5635
2024,"L","TW","DW","YFT","YELLOWFIN TUNA",2104
2024,"L","TW","DW","BUM","BLUE MARLIN",374
2024,"L","TW","DW","SKJ","SKIPJACK TUNA",390
2024,"L","TW","DW","BET","BIGEYE TUNA",2952
2024,"L","TW","DW","BLM","BLACK MARLIN",4
2024,"L","TW","DW","ALB","ALBACORE",5777
2024,"L","TW","OS","SKJ","SKIPJACK TUNA",764
2024,"L","TW","OS","BET","BIGEYE TUNA",4254
2024,"L","TW","OS","ALB","ALBACORE",11307
2024,"L","TW","OS","BLM","BLACK MARLIN",268
2024,"L","TW","OS","YFT","YELLOWFIN TUNA",10216
