Identifier,Title,Description,Subject,Creator,Date,Type,Language,SpatialCoverage,TemporalCoverage,Format,Relation,Rights,Provenance,Data
id:catchtype_iccat,Code list for types of catch used by ICCAT,"abstract:Code list for types of catches used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input the ICCAT nominal catch (task 1) dataset.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:info@iccat.int_
principalInvestigator:carlos.palma@iccat.int_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The ICCAT nominal catch (task) public domain datasets was downloaded._
process: The codes and labels used for types of catch in this dataset were identified. A code list for types of catch was reconstitued._
process: The code list was integrated into the Tuna atlas database","source:cl_catchtype_iccat.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_catchtype_iccat.csv_
sourceType:csv_
uploadSource:measurement_type.catchtype_iccat_
uploadType:dbtable"
id:catchtype_iotc,Code list for types of catch used by IOTC,"abstract:Code list for types of catches used by the Indian Ocean Tuna Commission (IOTC). Presently, the IOTC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:secretariat@iotc.org_
principalInvestigator:fabio.fiorellato@iotc.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The code list was constitued. _
process: The code list was integrated into the Tuna atlas database
","source:cl_catchtype_iotc.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_catchtype_iotc.csv_
sourceType:csv_
uploadSource:measurement_type.catchtype_iotc_
uploadType:dbtable"
id:catchtype_tunaatlas,Code list for types of catch used in the IRD Tuna Atlas,"abstract:Code list for types of catch used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas.
",,"owner:ird@ird.fr,paul.taconet@ird.fr_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:paul.taconet@ird.fr_
principalInvestigator:emmanuel.chassot@ird.fr_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The code lists used by the five tuna RFMOs for types of catch were collated._
process: Based on these code lists, a single code list gathering all the types of catch used by the tuna RFMOs was created._
process: The code list was integrated into the Tuna atlas database.","source:cl_catchtype.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_catchtype.csv_
sourceType:csv_
uploadSource:measurement_type.catchtype_tunaatlas_
uploadType:dbtable"
id:catchtype_wcpfc,Code list for types of catch used by WCPFC,"abstract:Code list for types of catches used by the Western and Central Pacific Fisheries Commission (WCPFC). Presently, WCPFC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data  within the Sardara database.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:wcpfc@wcpfc.int_
principalInvestigator:PeterW@spc.int_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The code list was constitued. _
process: The code list was integrated into the Tuna atlas database
","source:cl_catchtype_wcpfc.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_catchtype_wcpfc.csv_
sourceType:csv_
uploadSource:measurement_type.catchtype_wcpfc_
uploadType:dbtable"
id:catchunit_rfmos,Code list for units of catch used in the IRD Tuna Atlas,"abstract:Code list for units of catches used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas.
",,"owner:ird@ird.fr,paul.taconet@ird.fr_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:paul.taconet@ird.fr_
principalInvestigator:emmanuel.chassot@ird.fr_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The code lists used by the five tuna RFMOs for units of catch were collated._
process: Based on these code lists, a single code list gathering the unique combination of the units of catch used by the tuna RFMOs was created._
process: The code list was integrated into the Tuna atlas database.","source:cl_catchunit_rfmos.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_catchunit_rfmos.csv_
sourceType:csv_
uploadSource:measurement_unit.catchunit_rfmos_
uploadType:dbtable"
id:effortunit_ccsbt,Code list for units of fishing effort used by CCSBT,"abstract:Code list for units of fishing effort used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:CMillar@ccsbt.org_
principalInvestigator:CMillar@ccsbt.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The CCSBT public domain datasets were collated._
process: The codes and labels used for units of efforts in these datasets were identified. A code list for units of efforts was reconstitued._
process: The code list was integrated into the Tuna atlas database","source:cl_effortunit_ccsbt.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_effortunit_ccsbt.csv_
sourceType:csv_
uploadSource:measurement_unit.effortunit_ccsbt_
uploadType:dbtable"
id:effortunit_iattc,Code list for units of fishing effort used by IATTC,"abstract:Code list for units of fishing effort used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input various IATTC public domain datasets.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:info@iattc.org_
principalInvestigator:nvogel@iattc.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The IATTC public domain datasets were collated._
process: The codes and labels used for units of efforts in these datasets were identified. A code list for units of efforts was reconstitued._
process: The code list was integrated into the Tuna atlas database","source:cl_effortunit_iattc.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_effortunit_iattc.csv_
sourceType:csv_
uploadSource:measurement_unit.effortunit_iattc_
uploadType:dbtable"
id:effortunit_iccat,Code list for units of fishing effort used by ICCAT,"abstract:Code list for units of fishing effort used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:info@iccat.int_
principalInvestigator:carlos.palma@iccat.int_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,http:website[Source website]@https://www.iccat.int/en/Stat_Codes.htm,,"statement:Data management workflow_
process: The code list of units of efforts released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded._
process: Since the codes in this code list does not englobe all the codes for units of efforts used in the ICCAT public domain datasets, the latter were collated._
process: The codes and labels used for species in these datasets were identified. A code list for species was reconstitued._
process: The code list was integrated into the Tuna atlas database","source:cl_effortunit_iccat.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_effortunit_iccat.csv_
sourceType:csv_
uploadSource:measurement_unit.effortunit_iccat_
uploadType:dbtable"
id:effortunit_iotc,Code list for units of fishing effort used by IOTC,"abstract:Code list for units of fishing effort used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:secretariat@iotc.org_
principalInvestigator:fabio.fiorellato@iotc.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The IOTC public domain datasets were collated._
process: The codes and labels used for units of efforts in these datasets were identified. A code list for units of efforts was reconstitued._
process: The code list was integrated into the Tuna atlas database","source:cl_effortunit_iotc.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_effortunit_iotc.csv_
sourceType:csv_
uploadSource:measurement_unit.effortunit_iotc_
uploadType:dbtable"
id:effortunit_rfmos,Code list for units of fishing effort used in the IRD Tuna Atlas,"abstract:Code list for units of fishing effort used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas. This code list is the unique combination of the codes of units of fishing effort coming from the 5 tuna RFMOs (one single code was kept for each unit of fishing effort to create this code list).
",,"owner:ird@ird.fr,paul.taconet@ird.fr_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:paul.taconet@ird.fr_
principalInvestigator:emmanuel.chassot@ird.fr_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: All the codes of units of fishing effort coming from the  tuna RFMOs were collated._
process: The unique combination of these codes was manually extracted, i.e. one single code was kept for each unit of fishing effort. _
process: The resulting CSV file was integrated into the Tuna atlas database.","source:cl_effortunit_rfmos.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_effortunit_rfmos.csv_
sourceType:csv_
uploadSource:measurement_unit.effortunit_rfmos_
uploadType:dbtable"
id:effortunit_wcpfc,Code list for units of fishing effort used in by WCPFC,"abstract:Code list for units of fishing effort used by the Western and Central Pacific Fisheries Commission (WCPFC). This code list was built using as input various WCPFC public domain datasets.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:wcpfc@wcpfc.int_
principalInvestigator:PeterW@spc.int_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,,,"statement:Data management workflow_
process: The WCPFC public domain datasets were collated._
process: The codes and labels used for units of efforts in these datasets were identified. A code list for units of efforts was reconstitued._
process: The code list was integrated into the Tuna atlas database","source:cl_effortunit_wcpfc.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_effortunit_wcpfc.csv_
sourceType:csv_
uploadSource:measurement_unit.effortunit_wcpfc_
uploadType:dbtable"
id:flag_ccsbt,Code list for flags used by CCSBT,"abstract:Code list for flags used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:CMillar@ccsbt.org_
principalInvestigator:CMillar@ccsbt.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,http:website[Source website]@https://www.ccsbt.org/en/content/sbt-data,,"statement:Data management workflow_
process: The CCSBT public domain datasets were collated._
process: The codes and labels used for flags in these datasets were identified. A code list for flags was reconstitued._
process: The code list was integrated into the Tuna atlas database","source:cl_flag_ccsbt.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_flag_ccsbt.csv_
sourceType:csv_
uploadSource:fishing_fleet.flag_ccsbt_
uploadType:dbtable"
id:flag_iattc,Code list for flags used by IATTC,"abstract:Code list for flags used by the Inter-American Tropical Tuna Commission (IATTC). This code list was downloaded in the the IATTC website.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:info@iattc.org_
principalInvestigator:nvogel@iattc.org_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,http:website[Source website]@http://www.iattc.org/Standard-Codes/StdFlgCodes1.htm,,"statement:Data management workflow_
process: The code list of flags released by IATTC and available in the IATTC website at this url: http://www.iattc.org/Standard-Codes/StdFlgCodes.htm was downloaded._
process: The code list was integrated into the Tuna atlas database
","source:cl_flag_iattc.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_flag_iattc.csv_
sourceType:csv_
uploadSource:fishing_fleet.flag_iattc_
uploadType:dbtable"
id:flag_iccat,Code list for flags used by ICCAT in catch-and_effort (task2) datasets,"abstract:Code list for flags used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) in the catch-and-effort (task 2) datasets. This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.
",,"owner:ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:info@iccat.int_
principalInvestigator:carlos.palma@iccat.int_
processor:FIRMS-Secretariat@fao.org,emmanuel.blondel@fao.org,julien.barde@ird.fr,bastien.grasset@ird.fr",,codelist,eng,,,,http:website[Source website]@https://www.iccat.int/en/Stat_Codes.htm,,"statement:Data management workflow_
process: The code list of flags released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded._
process: The ICCAT public domain catch-and-effort (task) was downloaded._
process: The codes and labels used for flags in these datasets were identified. A code list for flags was reconstitued._
process: The code list was integrated into the Tuna atlas database","source:cl_flag_iccat.csv@https://github.com/fdiwg/fdi-codelists/raw/main/global/firms/gta/cl_flag_iccat.csv_
sourceType:csv_
uploadSource:fishing_fleet.flag_iccat_
uploadType:dbtable"
